cgpa,python,java,cpp,sql,web_dev,machine_learning,data_analysis,cloud_computing,cybersecurity,devops,ui_ux,logical_reasoning,problem_solving,mathematics,communication,teamwork,interest_ai,interest_web,interest_data,interest_cybersecurity,interest_cloud,interest_software_dev,interest_ui_ux,interest_business,certifications_count,projects_count,internship_done,preferred_work_style,recommended_career
7.78,7.1,2.6,0.5,7.1,3.6,5.3,8.5,4.4,1.5,2.1,5.2,6.7,9.6,5.9,8.3,7.7,5.1,4.6,6.5,2.5,3.7,4.6,5.1,7.9,3,1,0,Analytical,Data Analyst
6.61,6.8,6.4,6.4,4.7,4.0,5.5,4.1,7.1,5.4,8.7,3.3,5.8,9.3,5.7,8.6,8.4,5.0,6.2,4.3,8.0,7.6,7.5,3.6,6.5,1,2,1,Technical,DevOps Engineer
7.86,6.3,2.1,2.5,7.5,3.7,4.3,7.9,4.2,4.1,3.2,4.5,7.4,9.7,7.8,10.0,10.0,4.6,3.6,8.7,1.9,5.0,5.1,6.1,8.4,0,4,0,Managerial,Business Analyst
8.37,10.0,4.3,6.2,7.0,4.1,9.1,6.4,8.7,5.8,7.0,2.0,8.3,8.0,7.4,5.8,7.5,9.6,5.7,6.8,2.5,4.3,7.7,4.8,4.5,4,6,0,Technical,Machine Learning Engineer
7.75,5.9,8.1,7.1,7.1,6.3,3.0,3.9,4.2,4.1,6.0,2.9,8.0,9.6,7.6,7.9,6.4,2.0,6.2,4.4,5.5,6.3,9.6,4.8,3.8,1,5,1,Technical,Software Developer
6.46,8.0,6.0,7.0,7.0,5.0,10.0,6.8,4.2,4.4,4.3,4.5,9.0,8.7,9.8,5.1,6.8,10.0,4.3,7.5,3.5,8.7,8.5,2.8,6.5,5,3,0,Creative,AI Engineer
7.88,7.5,4.1,2.4,9.8,4.0,3.8,7.6,4.0,0.7,3.1,5.0,9.4,8.1,8.6,7.5,9.2,6.0,3.5,7.5,3.3,6.0,4.0,5.0,7.4,1,1,1,Analytical,Data Analyst
7.47,6.9,5.6,3.4,5.6,7.8,2.2,5.1,8.4,7.5,8.0,3.8,8.5,7.1,6.0,6.8,7.0,3.4,7.4,5.5,6.1,8.3,6.3,1.4,6.0,3,1,1,Technical,Cloud Engineer
6.39,7.0,3.4,4.1,7.2,7.3,2.4,5.0,5.0,4.4,5.9,7.0,9.2,8.4,7.4,7.9,8.1,3.3,10.0,3.1,3.6,2.6,7.0,7.2,4.9,1,4,0,Creative,Web Developer
7.8,4.2,3.1,0.7,4.6,9.4,0.8,1.8,5.2,3.0,2.4,9.9,6.9,7.0,3.9,7.5,6.8,3.4,8.0,4.0,0.3,2.8,3.3,9.1,6.4,3,4,1,Creative,UI/UX Developer
8.09,8.2,4.8,8.8,6.0,2.8,7.7,7.3,8.1,2.9,6.0,3.2,9.0,10.0,9.4,6.9,6.7,10.0,3.1,7.6,3.1,7.8,6.6,2.3,5.2,3,3,0,Managerial,Machine Learning Engineer
6.9,6.7,0.9,2.4,6.8,2.9,3.0,10.0,1.7,1.7,3.6,5.4,6.6,5.6,8.4,7.9,6.3,5.9,2.4,8.8,1.0,3.2,3.1,5.4,9.7,1,0,0,Analytical,Data Analyst
6.93,8.4,7.8,7.7,6.6,6.1,4.7,2.5,3.1,1.9,6.2,3.1,8.1,8.4,6.0,7.4,6.9,3.7,6.3,4.8,2.9,6.0,10.0,2.4,4.3,1,2,0,Creative,Software Developer
9.49,6.5,4.6,3.6,5.9,9.2,2.2,3.1,6.1,3.7,5.1,7.9,8.5,9.4,6.0,7.1,10.0,1.2,10.0,3.3,4.6,5.0,9.4,8.5,3.4,1,4,0,Analytical,Web Developer
7.25,4.1,1.3,2.1,4.5,5.9,1.1,3.2,2.5,1.3,3.8,9.9,6.8,6.0,5.8,10.0,7.0,2.2,8.9,2.7,2.2,3.6,5.6,8.3,8.6,2,6,1,Creative,UI/UX Developer
9.06,6.8,9.2,7.3,6.3,6.5,2.0,4.1,4.6,2.5,5.4,3.7,7.8,7.2,8.8,7.5,8.1,3.7,4.1,6.1,3.9,4.2,9.5,5.3,4.0,0,0,0,Technical,Software Developer
7.84,6.7,4.0,1.8,7.3,9.6,1.8,4.2,4.2,3.4,2.3,7.9,5.7,6.9,5.4,8.7,7.4,5.3,7.8,4.0,4.9,4.9,9.2,7.6,5.1,2,3,0,Creative,Web Developer
7.82,8.8,4.7,4.3,6.8,3.0,7.7,6.8,6.0,2.2,4.2,3.9,7.3,7.2,8.6,6.1,8.1,10.0,3.9,9.4,3.1,3.8,5.9,5.5,6.6,0,1,0,Analytical,Data Scientist
8.09,8.3,6.5,2.4,5.1,6.8,3.1,3.0,8.7,7.0,9.2,2.8,7.1,7.4,8.1,6.2,8.7,3.7,5.8,4.4,7.3,5.5,7.1,1.7,5.0,1,3,1,Technical,DevOps Engineer
7.78,6.1,6.1,7.4,8.2,4.8,1.7,3.3,8.0,6.2,7.5,3.3,7.6,8.5,6.1,6.5,6.4,3.4,5.2,2.6,5.1,8.7,4.9,4.2,6.1,1,1,1,Technical,DevOps Engineer
7.38,9.5,3.0,3.1,7.1,3.3,9.6,9.1,4.5,5.0,3.2,2.2,10.0,7.6,8.9,7.4,7.6,6.5,2.7,8.6,4.6,4.4,4.6,4.8,7.6,2,4,0,Analytical,Data Scientist
9.29,6.3,3.8,3.5,7.5,2.5,6.4,7.9,2.5,3.7,4.3,5.5,7.9,7.0,7.8,9.7,7.8,7.4,2.0,9.5,1.6,2.8,3.8,5.5,8.6,2,6,1,Analytical,Data Analyst
8.13,7.5,5.4,8.9,5.3,2.9,10.0,6.9,7.6,2.2,7.0,4.7,10.0,10.0,8.0,8.4,7.6,9.4,4.3,10.0,3.0,7.2,8.8,3.8,3.6,1,1,0,Creative,AI Engineer
8.41,8.0,2.6,3.0,6.3,2.3,7.1,7.8,6.6,3.3,5.4,3.6,7.5,8.4,8.3,8.0,5.3,8.4,4.7,8.0,2.5,3.1,6.2,3.9,6.4,2,2,1,Creative,Data Scientist
8.06,7.6,7.2,8.0,4.8,2.8,4.6,5.6,8.1,9.6,5.4,3.6,7.4,10.0,7.3,6.2,6.0,4.7,4.9,4.8,8.1,6.3,6.9,1.7,5.3,2,5,1,Technical,Cybersecurity Analyst
8.51,5.6,2.3,2.0,6.1,3.7,3.8,5.8,6.2,3.9,3.3,8.4,7.4,8.3,5.3,10.0,9.7,3.7,2.8,9.1,4.7,3.9,4.9,5.0,10.0,1,2,1,Managerial,Business Analyst
7.22,5.8,6.3,4.7,8.0,3.8,4.1,5.0,8.6,7.4,6.3,1.5,6.0,7.5,6.8,7.3,6.9,6.3,6.2,2.9,8.7,10.0,7.5,3.4,5.7,2,3,0,Analytical,Cloud Engineer
8.64,4.3,1.3,2.2,7.1,2.9,3.2,9.7,2.6,2.3,1.9,6.8,8.5,7.7,7.3,7.3,9.9,3.4,2.7,8.7,0.2,4.2,4.2,6.0,10.0,1,1,0,Managerial,Business Analyst
6.91,3.8,3.7,3.6,5.2,9.6,5.1,3.8,3.5,4.4,6.1,8.9,7.7,8.7,6.9,8.2,8.4,3.3,10.0,2.9,6.9,4.3,8.9,6.6,4.5,0,2,0,Analytical,Web Developer
8.99,5.4,4.1,1.5,2.5,9.3,0.9,3.1,2.1,4.1,3.1,9.9,6.5,6.2,5.7,9.5,7.8,3.6,9.7,2.2,1.8,3.9,4.4,9.6,5.9,1,3,0,Creative,UI/UX Developer
7.41,2.0,2.2,3.0,2.9,10.0,1.8,1.9,2.1,2.5,2.4,10.0,5.7,6.9,4.3,9.5,6.9,1.2,7.9,3.3,0.1,3.5,6.3,9.1,5.7,1,1,1,Analytical,UI/UX Developer
7.97,4.2,4.1,1.1,5.9,2.2,2.7,8.3,3.6,1.6,4.8,6.5,7.1,5.8,6.3,8.7,9.0,5.3,4.6,4.7,2.8,6.2,3.2,6.0,7.7,2,1,1,Managerial,Business Analyst
8.19,6.9,1.6,3.2,7.9,4.6,3.3,7.6,3.6,1.5,1.0,6.1,8.4,7.9,6.7,9.1,10.0,6.1,5.1,8.0,3.5,3.9,4.3,7.1,9.4,3,4,1,Managerial,Business Analyst
7.75,5.1,2.5,3.7,4.0,6.9,2.5,1.5,1.2,2.0,3.2,9.6,5.7,6.1,8.0,7.3,7.6,5.1,7.6,3.2,2.0,2.6,6.8,10.0,7.4,4,1,0,Creative,UI/UX Developer
8.79,5.0,5.5,5.6,5.8,6.5,1.6,4.2,7.3,6.9,9.2,2.1,7.5,9.1,6.3,8.2,7.9,4.2,7.0,5.5,7.0,9.0,6.6,3.6,5.0,3,3,0,Technical,DevOps Engineer
7.18,10.0,5.6,6.3,6.1,3.4,8.0,6.7,7.5,3.1,6.9,3.1,10.0,10.0,8.9,9.0,6.2,9.3,4.7,9.4,2.5,6.5,7.5,5.6,5.7,2,2,0,Technical,Machine Learning Engineer
7.56,7.7,4.7,4.8,5.7,6.0,2.5,3.2,7.9,5.2,9.5,2.7,6.4,8.7,5.4,6.1,10.0,4.6,5.9,4.0,6.2,10.0,7.3,3.6,3.3,2,2,0,Technical,DevOps Engineer
8.64,6.6,7.3,8.2,6.5,6.6,3.3,4.5,4.5,4.3,4.0,5.4,7.3,9.7,6.7,6.7,6.5,2.9,4.1,2.8,3.6,5.2,10.0,3.5,3.0,4,5,0,Technical,Software Developer
7.65,8.8,7.5,7.4,7.0,9.0,3.3,3.7,3.6,5.6,4.8,5.8,9.2,8.0,5.5,6.8,6.3,4.0,7.2,2.2,4.3,5.8,9.9,2.5,4.5,0,0,1,Technical,Software Developer
8.36,7.2,5.9,6.5,6.7,5.6,6.1,4.5,5.8,10.0,5.3,2.5,7.8,9.6,6.7,6.1,6.4,5.3,5.0,5.0,10.0,5.2,6.5,4.0,6.0,1,2,0,Technical,Cybersecurity Analyst
8.13,5.4,1.9,1.7,8.0,3.2,3.8,8.1,3.9,2.6,1.1,5.0,7.7,6.2,5.9,9.6,8.3,5.2,4.4,6.1,5.2,4.2,2.5,7.1,9.6,1,3,1,Managerial,Business Analyst
8.17,10.0,3.7,5.5,10.0,3.4,7.9,7.1,5.2,3.1,6.2,2.6,8.6,6.5,8.5,7.8,7.6,9.1,3.4,9.6,3.1,3.8,3.0,3.4,6.9,0,1,1,Analytical,Data Scientist
8.06,7.8,5.4,6.3,4.4,7.1,3.4,4.8,8.1,6.0,8.7,3.9,8.8,7.6,6.5,7.0,9.2,2.3,6.5,4.5,5.1,7.3,6.8,1.5,4.5,3,4,1,Technical,DevOps Engineer
6.0,3.2,1.1,2.1,7.4,3.2,3.7,8.2,2.6,1.3,4.5,6.4,8.0,6.6,6.0,7.3,10.0,5.5,3.3,7.4,4.9,2.6,2.4,6.0,9.8,2,4,1,Managerial,Business Analyst
6.0,7.5,5.4,4.6,6.4,6.5,4.4,4.1,6.3,6.9,8.4,2.3,10.0,7.8,4.5,6.7,8.3,3.9,6.6,4.5,5.6,8.2,8.4,3.2,5.1,2,2,1,Technical,DevOps Engineer
8.0,7.4,9.8,6.5,4.5,6.7,3.4,2.9,3.3,5.7,6.6,1.3,7.5,10.0,6.5,6.0,6.7,2.8,4.1,5.2,2.0,5.3,10.0,2.4,3.0,5,3,0,Technical,Software Developer
8.56,9.5,4.3,5.1,6.8,3.0,8.4,6.6,7.4,2.8,7.1,3.4,8.4,8.8,10.0,5.4,6.1,7.2,3.8,6.2,3.0,4.5,8.3,2.8,1.3,1,1,1,Technical,Machine Learning Engineer
7.78,6.9,3.9,3.5,8.7,7.8,3.9,2.5,4.1,2.3,4.4,7.9,8.3,9.0,3.7,5.6,8.3,4.6,10.0,3.9,2.7,3.9,8.1,6.4,3.9,2,2,1,Creative,Web Developer
9.49,6.9,3.6,1.1,6.2,5.1,3.3,9.9,4.8,1.1,5.2,5.1,8.2,5.8,5.2,7.7,8.9,3.0,3.2,9.6,3.4,5.1,4.2,4.9,7.2,1,3,0,Analytical,Data Analyst
8.59,7.8,9.6,6.1,7.8,8.6,2.6,2.6,4.6,4.0,5.6,3.3,9.7,7.3,5.1,7.7,4.5,3.8,9.4,4.0,2.8,4.9,8.9,4.2,4.7,3,5,0,Technical,Software Developer
7.98,6.9,7.4,5.6,6.2,4.7,3.8,3.0,10.0,6.9,10.0,2.6,7.7,8.4,6.3,6.8,5.9,4.3,4.2,4.1,6.0,8.5,6.3,2.8,8.4,3,2,0,Technical,Cloud Engineer
6.95,9.9,4.2,9.4,7.4,6.3,9.2,6.8,6.7,4.2,6.2,3.0,9.0,9.3,8.1,6.6,8.5,10.0,3.1,10.0,3.1,7.4,9.0,2.6,3.8,2,1,0,Technical,AI Engineer
6.92,8.5,4.5,6.7,8.6,6.4,8.5,8.4,5.6,4.3,6.0,2.2,10.0,7.5,5.8,7.3,6.6,8.8,7.0,9.3,3.4,5.7,8.0,1.1,4.4,2,2,0,Technical,Machine Learning Engineer
8.98,7.6,1.2,0.1,8.4,1.7,5.2,9.0,4.2,1.2,4.9,8.1,7.7,7.9,7.6,7.7,6.6,3.8,1.8,9.9,1.4,1.2,4.5,5.0,9.5,3,1,1,Managerial,Data Analyst
6.6,6.9,7.9,8.0,7.9,6.0,1.4,4.9,5.8,1.9,5.0,2.3,7.3,7.5,7.9,6.6,5.6,5.0,4.4,4.4,3.1,4.6,9.6,4.6,5.5,3,3,0,Technical,Software Developer
8.23,3.1,2.0,3.3,4.6,8.9,2.0,4.7,3.7,2.5,0.5,9.5,5.9,6.3,5.4,8.9,9.4,3.5,7.7,2.7,4.5,4.5,5.6,8.0,6.7,4,4,1,Creative,UI/UX Developer
7.63,2.6,2.2,1.2,4.2,8.9,2.1,4.7,3.3,1.8,3.2,9.9,8.7,7.4,3.8,8.0,7.6,2.9,8.5,3.9,0.8,4.8,3.9,9.4,4.3,6,3,0,Managerial,UI/UX Developer
8.87,6.5,4.1,4.0,8.9,1.8,4.7,8.4,5.0,2.2,2.9,3.9,6.0,6.6,8.2,9.3,7.2,4.0,3.2,10.0,2.9,4.2,6.3,6.4,6.7,2,1,1,Analytical,Data Analyst
8.68,8.4,8.5,7.1,6.4,5.8,2.7,3.3,5.3,3.3,5.2,1.7,7.3,9.7,6.0,7.2,6.1,4.9,5.7,3.6,4.1,3.5,10.0,5.4,3.6,3,1,1,Technical,Software Developer
7.36,6.9,8.3,8.3,6.3,4.7,2.2,4.2,5.2,4.3,5.6,4.0,8.3,8.5,8.3,8.1,5.7,3.7,6.0,3.7,6.0,5.2,8.1,4.7,4.3,2,3,1,Managerial,Software Developer
8.91,8.3,4.3,1.5,7.4,3.1,4.3,8.3,2.7,2.0,2.6,5.8,8.7,8.7,6.1,8.4,6.7,3.7,2.5,10.0,1.6,5.7,4.6,4.6,9.3,2,0,1,Managerial,Data Analyst
6.94,8.0,6.9,8.5,7.6,4.7,9.3,7.9,5.5,5.1,8.5,2.4,10.0,8.5,7.6,6.0,6.5,10.0,3.5,9.4,2.7,6.4,6.2,1.5,5.4,1,2,0,Creative,Machine Learning Engineer
6.73,7.7,3.0,5.5,8.7,4.9,10.0,5.9,5.9,2.4,5.2,3.2,7.3,6.9,8.7,8.5,7.3,7.2,5.4,9.7,3.9,6.4,3.2,3.0,7.9,1,2,1,Managerial,Data Scientist
8.08,7.3,5.0,5.4,5.0,4.9,3.8,4.9,5.2,7.7,6.3,3.2,10.0,9.6,8.6,5.7,7.4,4.2,5.9,4.4,10.0,6.3,6.9,1.0,5.3,1,3,0,Technical,Cybersecurity Analyst
